,ed_num,ed_name,pd_num,pd_sufx,pd_ltr,type,adv_num,site_name,site_name_fr,addr,addr_fr,municipality,municipality_fr,province,post_code,lat,lon,confidence,quality,score,easting,northing
26333,35001,Ajax,91,0,A,Ordinary,606,Terry Fox Public School,École publique Terry Fox,30 Kerrison Drive West,30 Kerrison Drive Ouest,Ajax,Ajax,ON,L1Z 1K1,43.870010151306765,-79.02687817765003,9.0,PointAddress,100.0,84154530.44674273,55307342.69120861
26334,35001,Ajax,91,0,B,Mobile,606,Harwood Place,Harwood Place,240 Old Harwood Avenue,"240, avenue Old Harwood",Ajax,Ajax,ON,L1T 0N2,43.86543435192455,-79.02762311298959,9.0,PointAddress,100.0,84162867.12427333,55304762.304129034
26435,35001,Ajax,500,0,,Mobile,609,Harwood Manor,Harwood Manor,655 Harwood Avenue South,"655, avenue Harwood Sud",Ajax,Ajax,ON,L1S 3M1,43.83575140827514,-79.0147631516248,8.0,PointAddress,100.0,84103101.60358381,55216198.629901506
26436,35001,Ajax,500,0,,Mobile,609,Winbourne Park Long Term Care Centre,Centre de soins de longue durée Winbourne Park,1020 Westney Road North,1020 Westney Road North,Ajax,Ajax,ON,L1T 4K6,43.87663238476379,-79.04334197001351,9.0,StreetAddress,100.0,84255527.24065061,55382484.48396645
26437,35001,Ajax,501,0,,Mobile,609,Ashley Manor,Ashley Manor,40 Kitney Drive,40 Kitney Drive,Ajax,Ajax,ON,L1S 4G3,43.841610785186624,-79.02031764645933,9.0,PointAddress,100.0,84134282.21106783,55245899.662284166
26438,35001,Ajax,501,0,,Mobile,609,Ballycliffe Lodge Nursing Home,Ballycliffe Lodge Nursing Home,70 Station Street,"70, rue Station",Ajax,Ajax,ON,L1S 1R9,43.85080910744968,-79.02477454567476,9.0,PointAddress,100.0,84155845.09209715,55275263.09297685
26439,35001,Ajax,501,0,,Mobile,609,Westwood Manor,Westwood Manor,960 Westney Road South,960 Westney Road South,Ajax,Ajax,ON,L1S 7L1,43.83074056059242,-79.01652817470719,9.0,PointAddress,100.0,84118315.99006009,55217214.646807395
26638,35002,Algoma--Manitoulin--Kapuskasing,500,0,,Mobile,601,Extendicare - Kapuskasing,Soins prolongés - Kapuskasing,45 Ontario Avenue,"45, avenue Ontario",Kapuskasing,Kapuskasing,ON,P5N 2Y5,49.41777698075849,-82.40982629569856,9.0,StreetAddress,100.0,108604207.72349454,84002863.32089359
26639,35002,Algoma--Manitoulin--Kapuskasing,500,0,,Mobile,601,North Centennial Manor,North Centennial Manor,2 Kimberly Drive,2 Kimberly Drive,Kapuskasing,Kapuskasing,ON,P5N 1L5,49.42457067551472,-82.43188162297744,9.0,StreetAddress,100.0,108865402.124084,84218922.7547218
26640,35002,Algoma--Manitoulin--Kapuskasing,500,0,,Mobile,601,Sensenbrenner Hospital,Hôpital Sensenbrenner,101 Progress Crescent,101 Progress Crescent,Kapuskasing,Kapuskasing,ON,P5N 3H5,49.42360297087421,-82.42862456533932,9.0,StreetAddress,100.0,108826695.19643813,84186998.27219336
26641,35002,Algoma--Manitoulin--Kapuskasing,501,0,,Mobile,622,Golden Birches Seniors Residence,Golden Birches Seniors Residence,525 Causley Street,"525, rue Causley",Blind River,Blind River,ON,P0R 1B0,46.18604424267837,-82.92336179948958,9.0,StreetAddress,100.0,119367751.78768857,83444643.74726893
26642,35002,Algoma--Manitoulin--Kapuskasing,501,0,,Mobile,622,Huron Lodge-Elliot Lake,Huron Lodge-Elliot Lake,100 Manitoba Road,100 Manitoba Road,Elliot Lake,Elliot Lake,ON,P5A 3T1,46.38484064227573,-82.64716560970096,8.0,PointAddress,100.0,115287622.73956534,81156812.51872484
26643,35002,Algoma--Manitoulin--Kapuskasing,501,0,,Mobile,622,St. Joseph's Manor,St. Joseph's Manor,70 Spine Road,70 Spine Road,Elliot Lake,Elliot Lake,ON,P5A 1X2,46.38424086229148,-82.66114895888083,9.0,StreetAddress,100.0,115476040.72304438,81284962.5493663
26644,35002,Algoma--Manitoulin--Kapuskasing,502,0,,Mobile,618,Manitoulin Centennial Manor,Manitoulin Centennial Manor,70 Robinson Street,"70, rue Robinson",Little Current,Little Current,ON,P0P 1K0,45.98324195201473,-81.93561026157684,9.0,StreetAddress,100.0,106987879.02216248,74511262.1405586
26645,35002,Algoma--Manitoulin--Kapuskasing,502,0,,Mobile,618,Manitoulin Lodge Nursing Home,Centre d'accueil Manitoulin Lodge,3 Main Street,"3, rue Main",Gore Bay,Gore Bay,ON,P0P 1H0,45.91458764651695,-82.46445435348306,9.0,StreetAddress,100.0,113435700.80919544,78719917.55726743
26646,35002,Algoma--Manitoulin--Kapuskasing,503,0,,Mobile,600,Foyer des Pionniers,Foyer des Pionniers,67 15th Street,67 15th Street,Hearst,Hearst,ON,P0L 1N0,49.689907571977066,-83.68117320430143,9.0,StreetAddress,100.0,126643444.74426322,98545288.55461515
26647,35002,Algoma--Manitoulin--Kapuskasing,503,0,,Mobile,600,Notre-Dame Hospital,Hôpital Notre-Dame,1405 Edouard Street,"1405, rue Edouard",Hearst,Hearst,ON,P0L 1N0,49.41083400000005,-82.47720949999996,9.0,PostalExt,86.67,109440982.18225564,84621775.23272006
26860,35003,Aurora--Oak Ridges--Richmond Hill,500,0,,Mobile,600,Chartwell Park Place Retirement Residence,Centre d'accueil Chartwell Park Place,15055 Yonge Street,"15055, rue Yonge",Aurora,Aurora,ON,L4G 6T4,43.99496467721735,-79.46638471631393,9.0,PointAddress,100.0,86994804.74532829,57323110.48070571
26861,35003,Aurora--Oak Ridges--Richmond Hill,500,0,,Mobile,600,Sunrise of Aurora,Sunrise of Aurora,3 Golf Links Drive,3 Golf Links Drive,Aurora,Aurora,ON,L4G 7Y4,43.99055196638604,-79.4663143501642,9.0,PointAddress,100.0,86997870.51663904,57317195.20336152
26862,35003,Aurora--Oak Ridges--Richmond Hill,500,0,,Mobile,600,Willows Estate Nursing Home,Centre d'accueil Willows Estate,13837 Yonge Street,"13837, rue Yonge",Aurora,Aurora,ON,L4G 0N9,43.96528427206784,-79.45930645641326,9.0,StreetAddress,100.0,86969551.86032556,57254262.49137937
26863,35003,Aurora--Oak Ridges--Richmond Hill,501,0,,Mobile,609,Elginwood Long Term Care,Elginwood Long Term Care,182 Yorkland Street,"182, rue Yorkland",Richmond Hill,Richmond Hill,ON,L4S 2M9,43.9020347659994,-79.44022979251461,9.0,PointAddress,100.0,86888148.31596045,57090319.84337893
26864,35003,Aurora--Oak Ridges--Richmond Hill,501,0,,Mobile,609,Mon Sheong Richmond Hill Long Term Care Centre,Mon Sheong Richmond Hill Long Term Care Centre,11199 Yonge Street,"11199, rue Yonge",Richmond Hill,Richmond Hill,ON,L4S 1L2,43.901084702752584,-79.44414175627587,9.0,PointAddress,100.0,86915992.97387013,57106234.494242474
26865,35003,Aurora--Oak Ridges--Richmond Hill,502,0,,Mobile,610,Brookside Court Retirement Residence,Brookside Court Retirement Residence,980 Elgin Mills Road East,980 Elgin Mills Road East,Richmond Hill,Richmond Hill,ON,L4S 1M4,43.89481317135938,-79.41218569363463,8.0,PointAddress,100.0,86700330.90388833,56958799.58686387
26866,35003,Aurora--Oak Ridges--Richmond Hill,502,0,,Mobile,610,Delmanor Elgin Mills,Delmanor Elgin Mills,80 Elgin Mills Road East,80 Elgin Mills Road East,Richmond Hill,Richmond Hill,ON,L4C 0L3,43.89021114524724,-79.43887721097555,8.0,PointAddress,100.0,86888267.93971808,57069405.11362213
26867,35003,Aurora--Oak Ridges--Richmond Hill,502,0,,Mobile,610,Hilltop Place Retirement Residence,Hilltop Place Retirement Residence,1000 Elgin Mills Road East,1000 Elgin Mills Road East,Richmond Hill,Richmond Hill,ON,L4S 1M4,43.894959185836825,-79.41178923029597,9.0,StreetAddress,100.0,86697484.01884925,56957258.97448327
27067,35004,Barrie--Innisfil,500,0,,Mobile,609,Lakeside Retirement Residence,Lakeside Retirement Residence,985 Innisfil Beach Road,985 Innisfil Beach Road,Innisfil,Innisfil,ON,L9S 4M8,44.31442316359594,-79.5497379407386,9.0,StreetAddress,100.0,87317978.8516238,58101171.88470852
27068,35004,Barrie--Innisfil,500,0,,Mobile,609,The Barrington Retirement Home,Maison de retraite The Barrington,450 Yonge Street,"450, rue Yonge",Barrie,Barrie,ON,L4N 4E2,44.36394227863712,-79.65950102709309,9.0,PointAddress,100.0,88056410.49334273,58664679.55904188
27069,35004,Barrie--Innisfil,501,0,,Mobile,605,Roberta Place,Roberta Place,503 Essa Road,503 Essa Road,Barrie,Barrie,ON,L4N 9E4,44.34197965696226,-79.70714995048742,9.0,PointAddress,100.0,88417685.13425922,58856654.6736715
27070,35004,Barrie--Innisfil,501,0,,Mobile,605,Roberta Place Retirement Lodge,Roberta Place Retirement Lodge,489 Essa Road,489 Essa Road,Barrie,Barrie,ON,L4N 9E4,44.342961212331865,-79.70660798615019,9.0,PointAddress,100.0,88412951.12524162,58855407.44558271
27071,35004,Barrie--Innisfil,502,0,,Mobile,602,Mill Creek Care Centre,Mill Creek Care Centre,286 Hurst Drive,286 Hurst Drive,Barrie,Barrie,ON,L4N 0Z3,44.36901544549576,-79.6569439326565,10.0,PointAddress,100.0,88033892.24665874,58659435.37651161
27072,35004,Barrie--Innisfil,502,0,,Mobile,602,Serenity Assisted Living,Serenity Assisted Living,410 Hurst Drive,410 Hurst Drive,Barrie,Barrie,ON,L4N 6N1,44.37300746436589,-79.66833004524207,9.0,PointAddress,100.0,88112247.94809054,58717040.27712764
27284,35005,Barrie--Springwater--Oro-Medonte,500,0,,Mobile,610,Barrie Manor,Manoir Barrie,340 Blake Street,"340, rue Blake",Barrie,Barrie,ON,L4M 1L3,44.39766648017758,-79.6556521243579,9.0,PointAddress,100.0,88000950.10066634,58690342.138900004
27285,35005,Barrie--Springwater--Oro-Medonte,500,0,,Mobile,610,Sara Vista Nursing Centre,Sara Vista Nursing Centre,27 Simcoe Street,"27, rue Simcoe",Elmvale,Elmvale,ON,L0L 1P0,44.5820891369085,-79.86216020332891,9.0,StreetAddress,100.0,89352491.0293821,59900984.122708485
27286,35005,Barrie--Springwater--Oro-Medonte,501,0,,Mobile,611,Coleman Care Centre,Centre d'accueil Coleman,140 Cundles Road West,140 Cundles Road West,Barrie,Barrie,ON,L4N 9X8,44.40061638250875,-79.71506015338423,8.0,PointAddress,100.0,88426219.41391313,58969228.808192976
27287,35005,Barrie--Springwater--Oro-Medonte,501,0,,Mobile,611,Whispering Pines Residence,Whispering Pines Residence,140 Letitia Street,"140, rue Letitia",Barrie,Barrie,ON,L4N 1P5,44.39099035227032,-79.71727261492283,8.0,PointAddress,100.0,88450242.80151209,58967084.94473996
27288,35005,Barrie--Springwater--Oro-Medonte,502,0,,Mobile,612,Mulcaster Mews,Mulcaster Mews,130 Mulcaster Street,"130, rue Mulcaster",Barrie,Barrie,ON,L4M 3M9,44.39474575714125,-79.68624590634188,9.0,PointAddress,100.0,88223056.13976255,58827857.204440765
27289,35005,Barrie--Springwater--Oro-Medonte,502,0,,Mobile,612,Simcoe Terrace Retirement Home,Simcoe Terrace Retirement Home,44 Donald Street,"44, rue Donald",Barrie,Barrie,ON,L4N 1E3,44.38683834120154,-79.70184267646094,9.0,StreetAddress,100.0,88342096.20907392,58889972.29186479
27290,35005,Barrie--Springwater--Oro-Medonte,503,0,,Mobile,612,Owen Hill Care Community,Owen Hill Care Community,130 Owen Street,"130, rue Owen",Barrie,Barrie,ON,L4M 3H7,44.39514738383642,-79.68998593438725,9.0,PointAddress,100.0,88249664.43835787,58845699.91547412
27291,35005,Barrie--Springwater--Oro-Medonte,503,0,,Mobile,612,Victoria Village Manor,Victoria Village Manor,78 Ross Street,"78, rue Ross",Barrie,Barrie,ON,L4N 1G3,44.39086837996994,-79.69885658895492,9.0,PointAddress,100.0,88317190.54296163,58881314.6029331
27519,35006,Bay of Quinte,500,0,,Mobile,606,Quinte Gardens Retirement Residence,Quinte Gardens Retirement Residence,30 College Street West,"30, rue College Ouest",Belleville,Belleville,ON,K8P 0A9,44.17639656879367,-77.39249222866013,9.0,StreetAddress,100.0,74721565.32046221,49814002.81110133
27520,35006,Bay of Quinte,500,0,,Mobile,606,The Richmond Retirement Residence,The Richmond Retirement Residence,175 Front Street North,"175, rue Front Nord",Belleville,Belleville,ON,K8P 4Y8,44.17809503165208,-77.39137782537972,9.0,PointAddress,99.91,74714899.73087862,49812323.562977746
27521,35006,Bay of Quinte,501,0,,Mobile,608,Bridge Street Retirement Residence,Bridge Street Retirement Residence,85 Bridge Street East,"85, rue Bridge Est",Belleville,Belleville,ON,K8N 1L9,44.16447389644547,-77.38031208200135,9.0,PointAddress,100.0,74669713.0253559,49762850.72377158
27522,35006,Bay of Quinte,501,0,,Mobile,608,Eden Place Retirement,Eden Place Retirement,38 Everett Street,"38, rue Everett",Belleville,Belleville,ON,K8P 3K2,44.1645571470945,-77.38793078339762,9.0,PointAddress,100.0,74707203.23743504,49786893.451246604
27523,35006,Bay of Quinte,501,0,,Mobile,608,Quinte Living Centre,Quinte Living Centre,370 Front Street,"370, rue Front",Belleville,Belleville,ON,K8N 5L9,44.16835532500435,-77.38591916492541,9.0,PointAddress,100.0,74694675.70336485,49784656.455629595
27524,35006,Bay of Quinte,502,0,,Mobile,610,Belleville General Hospital,Belleville General Hospital,265 Dundas Street East,"265, rue Dundas Est",Belleville,Belleville,ON,K8N 5A9,44.16384327615561,-77.36444059686077,9.0,PointAddress,100.0,74592063.3862836,49712360.76034238
27525,35006,Bay of Quinte,502,0,,Mobile,610,East Plaza Court Senior Citizens Complex,East Plaza Court Senior Citizens Complex,485 Bridge Street East,"485, rue Bridge Est",Belleville,Belleville,ON,K8N 1R9,44.17094306671312,-77.35228557201454,9.0,StreetAddress,100.0,74527523.75976121,49681920.43971903
27526,35006,Bay of Quinte,502,0,,Mobile,610,Emmanuel Seniors Residence,Emmanuel Seniors Residence,50 Rollins Drive,50 Rollins Drive,Belleville,Belleville,ON,K8N 5P8,44.173285219805024,-77.35644191886402,9.0,PointAddress,100.0,74546309.18534572,49697448.597211674
27527,35006,Bay of Quinte,503,0,,Mobile,607,Belmont Long Term Care Facility,Belmont Long Term Care Facility,250 Bridge Street West,"250, rue Bridge Ouest",Belleville,Belleville,ON,K8P 5N3,44.15957744214889,-77.40391053136361,9.0,PointAddress,100.0,74789521.38149011,49831852.92767056
27528,35006,Bay of Quinte,503,0,,Mobile,607,Westgate Lodge,Westgate Lodge,37 Wilkie Street,"37, rue Wilkie",Belleville,Belleville,ON,K8P 4E4,44.1469127035893,-77.40657952674731,9.0,PointAddress,100.0,74811428.67350201,49826609.35212293
27529,35006,Bay of Quinte,504,0,,Mobile,607,Aldersgate Home,Aldersgate Home,7 Aldersgate Drive,7 Aldersgate Drive,Belleville,Belleville,ON,K8P 4P9,44.151891467644646,-77.41276723353276,9.0,StreetAddress,100.0,74838620.53892615,49851502.531737365
27530,35006,Bay of Quinte,504,0,,Mobile,607,Wellington Arms Senior Citizens Complex,Wellington Arms Senior Citizens Complex,25 Wellington Crescent,25 Wellington Crescent,Belleville,Belleville,ON,K8P 4S6,44.15840405857228,-77.39359743611895,8.0,PointAddress,100.0,74739387.33487183,49798096.99350352
27531,35006,Bay of Quinte,505,0,,Mobile,603,Carrington Retirement Residence,Carrington Retirement Residence,114 Whites Road,114 Whites Road,Trenton,Trenton,ON,K8V 5P5,44.12533165714836,-77.50989763987018,9.0,StreetAddress,100.0,75341370.52052118,50131488.0570571
27532,35006,Bay of Quinte,505,0,,Mobile,603,Crown Ridge Health Care,Crown Ridge Health Care,106 Crown Street,"106, rue Crown",Trenton,Trenton,ON,K8V 6R3,44.10582342772216,-77.56191778250358,9.0,PointAddress,100.0,75617344.37642805,50277378.632605344
27533,35006,Bay of Quinte,506,0,,Mobile,602,45 Creswell Retirement Apartments,45 Creswell Retirement Apartments,45 Creswell Drive,45 Creswell Drive,Trenton,Trenton,ON,K8V 6A6,44.09548586759202,-77.57835476074793,9.0,PointAddress,100.0,75707899.83241467,50319156.46345924
27534,35006,Bay of Quinte,506,0,,Mobile,602,Trenton Memorial Lodge,Trenton Memorial Lodge,80 Catherine Street,"80, rue Catherine",Trenton,Trenton,ON,K8V 6N8,44.101431262277124,-77.58853287304503,9.0,PointAddress,100.0,75755493.08802067,50358580.92147135
27535,35006,Bay of Quinte,507,0,,Mobile,612,H.J. McFarland Memorial Home,H.J. McFarland Memorial Home,603 Highway 49,603 Highway 49,Picton,Picton,ON,K0K 2T0,44.025548704301436,-77.13543029569855,9.0,StreetAddress,100.0,73578874.3995241,48860189.7589598
27536,35006,Bay of Quinte,507,0,,Mobile,612,Harmony Home Senior Apartments,Harmony Home Senior Apartments,42 Downes Avenue,"42, avenue Downes",Prince Edward,Prince Edward,ON,K0K 2T0,44.00808124380463,-77.15169437844712,9.0,StreetAddress,100.0,73668080.97517975,48890833.13687812
27537,35006,Bay of Quinte,507,0,,Mobile,612,Kentwood Park Nursing Home,Kentwood Park Nursing Home,2 Ontario Street,"2, rue Ontario",Prince Edward,Prince Edward,ON,K0K 2T0,44.00310127878341,-77.14863000145549,9.0,StreetAddress,100.0,73656822.58139712,48876282.564574145
27538,35006,Bay of Quinte,508,0,,Mobile,614,Hallowell House,Hallowell House,13628 Loyalist Parkway,13628 Loyalist Parkway,Picton,Picton,ON,K0K 2T0,43.9937956456541,-77.18137476715239,9.0,StreetAddress,100.0,73819553.30159292,48965642.61773308
27539,35006,Bay of Quinte,508,0,,Mobile,614,Manor of Loyalist Parkway,Manor of Loyalist Parkway,13468 Loyalist Parkway,13468 Loyalist Parkway,Prince Edward,Prince Edward,ON,K0K 2T0,43.99694330448207,-77.17056188476205,9.0,StreetAddress,100.0,73765679.84678002,48936166.00444533
27540,35006,Bay of Quinte,508,0,,Mobile,614,West Lake Terrace,West Lake Terrace,1673 County Road 12,1673 County Road 12,Prince Edward,Prince Edward,ON,K0K 2T0,43.92728511520484,-77.25815134551534,9.0,StreetAddress,100.0,74234460.98975599,49129079.62215233
27541,35006,Bay of Quinte,509,0,,Mobile,609,BelMarine Retirement Home,BelMarine Retirement Home,228 Dundas Street East,"228, rue Dundas Est",Belleville,Belleville,ON,K8N 5A9,44.163165224017284,-77.36750385388643,9.0,PointAddress,100.0,74607584.38015965,49721236.0401136
27542,35006,Bay of Quinte,509,0,,Mobile,609,Birchview Place Senior Citizens,Birchview Place Senior Citizens,5 Turnbull Street,"5, rue Turnbull",Belleville,Belleville,ON,K8N 3C9,44.1625580244387,-77.37924736144652,8.0,PointAddress,100.0,74665784.69364701,49757443.21137978
27543,35006,Bay of Quinte,509,0,,Mobile,609,Birchview Place Senior Citizens,Birchview Place Senior Citizens,7 Turnbull Street,"7, rue Turnbull",Belleville,Belleville,ON,K8N 3C9,44.16299804997393,-77.37947740140847,8.0,PointAddress,100.0,74666615.47340076,49758639.5540089
27544,35006,Bay of Quinte,510,0,,Mobile,607,Hastings Manor Home for the Aged,Hastings Manor Home for the Aged,476 Dundas Street West,"476, rue Dundas Ouest",Belleville,Belleville,ON,K8N 5B2,44.16105300000005,-77.38184149999996,9.0,PostalExt,97.66,74679596.40995638,49763974.051442444
27545,35006,Bay of Quinte,510,0,,Mobile,607,Maple Manor Residence,Maple Manor Residence,132 Avonlough Road,132 Avonlough Road,Belleville,Belleville,ON,K8N 4Z2,44.145770898147575,-77.42145929791126,9.0,PointAddress,100.0,74885890.02628574,49872348.28382784
27546,35006,Bay of Quinte,511,0,,Mobile,607,Bayview Retirement Residence,Bayview Retirement Residence,435 Dundas Street West,"435, rue Dundas Ouest",Belleville,Belleville,ON,K8P 1B6,44.14683016896573,-77.40912317912193,10.0,PointAddress,100.0,74824068.33734533,49834542.571553834
27547,35006,Bay of Quinte,511,0,,Mobile,607,Fairview Towers Seniors Residence,Fairview Towers Seniors  Residence,247 Bridge Street West,"247, rue Bridge Ouest",Belleville,Belleville,ON,K8P 4S1,44.15965066273333,-77.4027965965723,9.0,PointAddress,100.0,74783965.05365403,49828419.9866393
27548,35006,Bay of Quinte,511,0,,Mobile,607,Quinte Court Seniors Residence,Quinte Court Seniors Residence,245 Bridge Street West,"245, rue Bridge Ouest",Belleville,Belleville,ON,K8P 4S1,44.159892855906605,-77.40168179681473,9.0,PointAddress,100.0,74778289.17837587,49825167.07565099
27549,35006,Bay of Quinte,512,0,,Mobile,603,Seasons Dufferin Centre,Seasons Dufferin Centre,344 Dufferin Avenue,"344, avenue Dufferin",Trenton,Trenton,ON,K8V 5G9,44.101218762132895,-77.58434178965868,9.0,PointAddress,100.0,75734330.8297482,50344783.692505606
27550,35006,Bay of Quinte,512,0,,Mobile,603,Trent Valley Lodge Nursing Home,Centre d'accueil Trent Valley,195 Bay Street,"195, rue Bay",Trenton,Trenton,ON,K8V 1H9,44.10334856838269,-77.55770841465174,9.0,PointAddress,100.0,75597747.79582548,50261108.01348512
27746,35007,Beaches--East York,500,0,,Mobile,600,Canadian Macedonian Place,Canadian Macedonian Place,850 O'Connor Drive,850 O'Connor Drive,East York,East York,ON,M4B 3L6,43.706901215390296,-79.3117947591318,9.0,PointAddress,100.0,86163829.30084324,56289755.13892464
27747,35007,Beaches--East York,500,0,,Mobile,600,St. Clair O'Connor Community Inc,St. Clair O'Connor Communauté  Inc,2701 St. Clair Avenue East,"2701, avenue St. Clair Est",East York,East York,ON,M4B 3M3,43.70561283484345,-79.31187578919733,9.0,PointAddress,100.0,86165395.39572647,56288480.188373104
27748,35007,Beaches--East York,501,0,,Mobile,608,Main Street Terrace,Main Street Terrace,77 Main Street,"77, rue Main",Toronto,Toronto,ON,M4E 2V6,43.681504336949565,-79.29912552091893,9.0,PointAddress,100.0,86098085.75959675,56204009.87457719
27749,35007,Beaches--East York,501,0,,Mobile,608,True Davidson Acres,True Davidson Acres,200 Dawes Road,200 Dawes Road,East York,East York,ON,M4C 5M8,43.69583700000001,-79.29745852671772,9.0,PointAddress,100.0,86075518.41578196,56214938.23349113
27750,35007,Beaches--East York,502,0,,Mobile,609,Atrium @ Kew Beach,Atrium @ Kew Beach,500 Kingston Road,500 Kingston Road,Toronto,Toronto,ON,M4L 1V3,43.67766637471846,-79.30242060563201,9.0,PointAddress,100.0,86123403.32982457,56213171.79641075
27751,35007,Beaches--East York,502,0,,Mobile,609,Beach Arms Retirement Residence,Beach Arms Retirement Residence,505 Kingston Road,505 Kingston Road,Toronto,Toronto,ON,M4L 1V5,43.677555592532954,-79.30253788715463,9.0,PointAddress,100.0,86124284.36913437,56213530.439471245
27799,35008,Brampton Centre,36,0,A,Ordinary,604,Clark Boulevard Public School,École publique Clark Boulevard,201 Clark Boulevard,"201, boulevard Clark",Brampton,Brampton,ON,L6T 2C9,43.71504673241409,-79.71890719519342,8.0,PointAddress,100.0,89019506.86636361,58097527.04850566
27800,35008,Brampton Centre,36,0,B,Ordinary,604,Bramalea Retirement Residence,Bramalea Retirement  Residence,30 Peel Centre Drive,30 Peel Centre Drive,Brampton,Brampton,ON,L6T 4G3,43.71640910188109,-79.72463907677856,9.0,PointAddress,100.0,89060221.7804866,58125572.68359233
